agent,scenario,final_account_M,annualized_return_pct,sharpe,sortino,psr,dsr,dsr_50,ci_low,ci_high,max_drawdown,total_buys,total_sells,mean_cash_weight,min_trl_years,benchmark_sharpe,n_trading_days,benchmark_final_M,benchmark_ar_pct,benchmark_max_dd
A2C,turb,1.401826565209385,18.508623052784845,0.99295893189731,1.3560045620555536,0.6330588916403848,0.7592795764514896,,-0.443716816124196,2.429634679918816,-0.20688898453325408,708.0,48.0,0.07641585753807534,0.01942966153534786,0.7438741594999082,503.0,1.3958736836018044,18.186274255110767,-0.3618960796782758
PPO,turb,1.490084375841973,22.162906008743377,1.1184395320004297,1.547924177745458,0.6945754997324265,0.8339797870240928,,-0.325090009392172,2.561969073393032,-0.2280464931307675,1539.0,109.0,0.1333020822599751,0.016154966974116055,0.7438741594999124,503.0,1.3958736836018057,18.186274255110813,-0.36189607967827586
DDPG,turb,1.476678690217827,21.77816056421067,1.1009551437796905,1.53977228696308,0.6885094941489727,0.8478626054397309,,-0.323422885147046,2.5253331727064268,-0.2163265957778358,455.0,74.0,0.050170756202395896,0.016545117606120482,0.7438741594999124,503.0,1.3958736836018057,18.186274255110813,-0.36189607967827586
TD3,turb,1.5388747220840773,24.26590949663816,1.2638632370102854,1.7620165625219786,0.7607173953422492,0.9086291432112724,,-0.1754483787048935,2.703174852725464,-0.21008054211377947,378.0,42.0,0.05207054572916983,0.01351183662354671,0.7438741594999124,503.0,1.3958736836018057,18.186274255110813,-0.36189607967827586
LLM_gemma3,turb,1.015875270663687,0.7938529806468253,0.1265095867842392,0.1594738853829794,0.1940281377585437,1.6592235458181831e-19,,-1.2753610524404688,1.5283802260089472,-0.19950831045629555,5555.0,59.0,0.4641276012143687,0.9564676906747758,0.7438741013826976,503.0,1.3958736342530496,18.186272161819407,-0.3618961544798383
A2C,noturb,1.2188290324479725,10.522668300856196,0.4638789754833629,0.6386032014950984,0.3479689622406503,0.0003274533189315,,-0.940481739217607,1.868239690184333,-0.4859662644714939,175.0,27.0,0.014593339337049937,0.0748121151365143,0.7438741594999124,503.0,1.3958736836018057,18.186274255110813,-0.36189607967827586
PPO,noturb,1.1010899160952574,4.957591712801568,0.3137523932959269,0.4300078393794065,0.2733905969422447,7.073342218604741e-09,,-1.085313359101441,1.712818145693295,-0.4682490177927778,334.0,0.0,0.03365822977010551,0.1588276308218198,0.7438741594999124,503.0,1.3958736836018057,18.186274255110813,-0.36189607967827586
DDPG,noturb,1.5412873455604876,24.399413294802862,0.9527204436989074,1.3322624851332516,0.613957100935692,0.7042429790895144,,-0.4610989536387477,2.3665398410365626,-0.3571209463693006,247.0,80.0,0.008404241527077153,0.020763278127882295,0.7438741008689813,503.0,1.3958736868092765,18.186274391166336,-0.3618960922116625
TD3,noturb,1.4262302014044832,19.69931240870524,0.7999761581853604,1.107538336614006,0.5307061158763694,0.555441051237981,,-0.6276458001176575,2.2275981164883785,-0.3377863379849222,118.0,0.0,0.00816631470670351,0.02778911822311661,0.7438741008689813,503.0,1.3958736868092765,18.186274391166336,-0.3618960922116625
A2C,synth,0.8645995143648054,-7.038036398839864,-1.1213710356570394,-1.612438420828749,0.9435241300025043,0.9993221845076824,0.24386840851912328,-2.564171692338964,0.3214296210248852,-0.1629866728355669,483.0,32.0,0.03522595195893553,0.016091332912426832,-2.287518878224493,503.0,0.8194166131405429,-9.496285728166132,-0.1939396368465167
PPO,synth,0.9051692686152871,-4.865104188021041,-0.4230735096945818,-0.6546075132661526,0.9952571195332198,0.9999999999999996,0.623888593577398,-1.8319075597461305,0.9857605403569668,-0.18013812478600416,1441.0,102.0,0.14229989534381057,0.0891369377018938,-2.287518878224493,503.0,0.8194166131405429,-9.496285728166132,-0.1939396368465167
DDPG,synth,0.8501229182123284,-7.81725382919708,-0.8000651654673345,-1.0900932404913295,0.9819866519799216,0.999999999999974,0.42772808609842217,-2.1910046889774835,0.5908743580428146,-0.25039187839692,693.0,183.0,0.03591148868791161,0.027783818373716213,-2.287518878224493,503.0,0.8194166131405429,-9.496285728166132,-0.1939396368465167
TD3,synth,0.864004795248668,-7.049777594992324,-1.1578745693871784,-1.5834265437962909,0.943107077553283,0.9999999943512016,0.24266863719260645,-2.5588533967742424,0.2431042579998856,-0.18872569263802208,346.0,36.0,0.021997453822522762,0.015338989822167309,-2.287518878224493,503.0,0.8194166131405429,-9.496285728166132,-0.1939396368465167
Benchmark,turb,1.3958736836018044,18.186274255110767,0.7438741594999082,,,,,,,-0.3618960796782758,,,,0.03151768644907707,,,,,
Benchmark,synth,0.8194166131405429,-9.496285728166132,-2.287518878224493,,,,,,,-0.1939396368465167,,,,0.006881533973910146,,,,,
Benchmark,noturb,1.3958736836018057,18.186274255110813,0.7438741594999124,,,,,,,-0.36189607967827586,,,,0.03151768644907675,,,,,
